date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:16:56	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Mar%202019%2004:16:54%20GMT	http://insta.easyhack.club/robots.txt		(from )
05:16:56	578/578	---MC-	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202019%2004:16:55%20GMT	http://insta.easyhack.club/	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index.html	(from )
05:16:57	242/242	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Mar%202019%2004:16:56%20GMT	https://insta.easyhack.club/index	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index.0.delayed	(from http://insta.easyhack.club/)
05:16:58	27943/27943	---MC-	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202019%2004:16:56%20GMT	https://insta.easyhack.club/index/	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/index.html	(from http://insta.easyhack.club/)
05:16:58	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Mar%202019%2004:16:57%20GMT	https://insta.easyhack.club/robots.txt		(from http://insta.easyhack.club/)
05:16:58	338/338	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Mar%202019%2004:16:57%20GMT	https://insta.easyhack.club/index/img/favicon.ico	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/img/favicon.ico	(from https://insta.easyhack.club/index/)
05:16:58	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from https://insta.easyhack.club/index/)
05:16:59	75599/75599	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/css/animate.css	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/css/animate.css	(from https://insta.easyhack.club/index/)
05:16:59	121265/121265	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/css/bootstrap.min.css	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/css/bootstrap.min.css	(from https://insta.easyhack.club/index/)
05:17:00	8710/8710	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/css/magnific-popup.css	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/css/magnific-popup.css	(from https://insta.easyhack.club/index/)
05:17:00	15604/15604	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/css/sweet-alert.css	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/css/sweet-alert.css	(from https://insta.easyhack.club/index/)
05:17:01	24915/24915	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/img/logo.png	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/img/logo.png	(from https://insta.easyhack.club/index/)
05:17:01	16071/16071	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/img/add-username-icon.png	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/img/add-username-icon.png	(from https://insta.easyhack.club/index/)
05:17:01	51050/51050	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/css/style.css	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/css/style.css	(from https://insta.easyhack.club/index/)
05:17:01	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://insta.easyhack.club/index/)
05:17:02	10452/10452	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/js/sweet-alert.min.js	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/js/sweet-alert.min.js	(from https://insta.easyhack.club/index/)
05:17:02	242681/242681	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/img/username-example.jpg	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/img/username-example.jpg	(from https://insta.easyhack.club/index/)
05:17:02	21149/21149	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/js/jquery.magnific-popup.min.js	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/js/jquery.magnific-popup.min.js	(from https://insta.easyhack.club/index/)
05:17:02	3350/3350	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/js/jquery.fitvids.js	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/js/jquery.fitvids.js	(from https://insta.easyhack.club/index/)
05:17:02	6063/6063	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/js/validator.min.js	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/js/validator.min.js	(from https://insta.easyhack.club/index/)
05:17:03	3380/3380	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/js/jquery.matchHeight-min.js	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/js/jquery.matchHeight-min.js	(from https://insta.easyhack.club/index/)
05:17:03	18233/18233	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2004:41:48%20GMT	https://insta.easyhack.club/index/js/com.js	D:/Dev/CPA/Site%20Template%20Download/Instagram/Instagram/insta.easyhack.club/index/js/com.js	(from https://insta.easyhack.club/index/)
